task,instructions,thisN,thisTrialN,thisRepN,word,color,key_resp_instrucctions.keys,key_resp_instrucctions.rt,key_resp_instrucctions.duration,key_resp.keys,key_resp.rt,key_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,welcome_key.started,welcome.stopped,welcome_key.keys,welcome_key.rt,welcome_key.duration,instructions.started,text_instructions.started,key_resp_instrucctions.started,instructions.stopped,blocks.key_resp_instrucctions.keys,blocks.key_resp_instrucctions.rt,blocks.key_resp_instrucctions.duration,stimulus.started,stimuli.started,key_resp.started,stimulus.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,goodbye.started,goodbye_text.started,goodbye_response.started,goodbye.stopped,goodbye_response.keys,goodbye_response.rt,goodbye_response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,0.009067600010894239,0.014027200057171285,0.014027200057171285,1.7382029000436887,space,1.7186955999350175,None,,,,,,,,,,,,,,,,,,,,,,515048,001,2025-08-05_18h34.27.450,Self,2024.2.4,164.26430129983027,2025-08-05 18h34.36.022467 +0100,
identity,test 1,0,0,0,self,red,space,0.4883768999716267,None,j,1.4251768999965861,None,0,0,0,0,0,0,0,0,2.2615286000072956,,,,,,,,,1.7499741000356153,1.7584112000185996,1.7584112000185996,2.2512837999965996,space,0.4883768999716267,None,2.2562308000633493,2.2615286000072956,2.2615286000072956,3.6874651000835,j,1.4251768999965861,None,,,,,,,,515048,001,2025-08-05_18h34.27.450,Self,2024.2.4,164.26430129983027,2025-08-05 18h34.36.022467 +0100,
identity,test 1,1,1,0,other,green,space,0.4883768999716267,None,k,0.23683529999107122,None,0,0,0,0,0,1,1,2,3.6979741000104696,,,,,,,,,,,,,,,,3.688786300015636,3.6979741000104696,3.6979741000104696,3.9356024999869987,k,0.23683529999107122,None,,,,,,,,515048,001,2025-08-05_18h34.27.450,Self,2024.2.4,164.26430129983027,2025-08-05 18h34.36.022467 +0100,
identity,test 1,2,2,0,friend,blue,space,0.4883768999716267,None,l,0.22616309998556972,None,0,0,0,0,0,2,2,1,3.9398432000307366,,,,,,,,,,,,,,,,3.936915299971588,3.9398432000307366,3.9398432000307366,4.1719356999965385,l,0.22616309998556972,None,,,,,,,,515048,001,2025-08-05_18h34.27.450,Self,2024.2.4,164.26430129983027,2025-08-05 18h34.36.022467 +0100,
identity,test 1,0,0,0,,,space,0.4883768999716267,None,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515048,001,2025-08-05_18h34.27.450,Self,2024.2.4,164.26430129983027,2025-08-05 18h34.36.022467 +0100,
color,test 2,0,0,0,self,red,space,4.895599699928425,None,k,0.5466819000430405,None,0,1,1,1,0,0,0,0,9.089821100002155,,,,,,,,,4.176290099974722,4.182315099984407,4.182315099984407,9.080593000049703,space,4.895599699928425,None,9.086161100072786,9.089821100002155,9.089821100002155,9.637820000061765,k,0.5466819000430405,None,,,,,,,,515048,001,2025-08-05_18h34.27.450,Self,2024.2.4,164.26430129983027,2025-08-05 18h34.36.022467 +0100,
color,test 2,1,1,0,friend,blue,space,4.895599699928425,None,j,0.12311089993454516,None,0,1,1,1,0,1,1,1,9.647497200057842,,,,,,,,,,,,,,,,9.639145200024359,9.647497200057842,9.647497200057842,9.776792100048624,j,0.12311089993454516,None,,,,,,,,515048,001,2025-08-05_18h34.27.450,Self,2024.2.4,164.26430129983027,2025-08-05 18h34.36.022467 +0100,
color,test 2,2,2,0,other,green,space,4.895599699928425,None,k,0.1750908000394702,None,0,1,1,1,0,2,2,2,9.781238000025041,,,,,,,,,,,,,,,,9.778092300053686,9.781238000025041,9.781238000025041,9.958878900040872,k,0.1750908000394702,None,,,,,,,,515048,001,2025-08-05_18h34.27.450,Self,2024.2.4,164.26430129983027,2025-08-05 18h34.36.022467 +0100,
color,test 2,1,1,0,,,space,4.895599699928425,None,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515048,001,2025-08-05_18h34.27.450,Self,2024.2.4,164.26430129983027,2025-08-05 18h34.36.022467 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.959610600024462,9.968744200072251,9.968744200072251,10.728124900022522,space,0.7546966999070719,None,515048,001,2025-08-05_18h34.27.450,Self,2024.2.4,164.26430129983027,2025-08-05 18h34.36.022467 +0100,
