4.8972 	EXP 	New trial (rep=0, index=2): <Trial 2 (2 in rep 0) data={'word': 'self', 'color': 'red', 'thisN': 2, 'thisTrialN': 2, 'thisRepN': 0}>
4.9032 	DATA 	Keypress: k
4.9057 	INFO 	Keyboard events cleared
4.9055 	EXP 	stimuli: autoDraw = False
4.9055 	EXP 	stimuli: foreColor = <psychopy.colors.Color: red, alpha=1.0>
4.9055 	EXP 	stimuli: height = 0.05
4.9055 	EXP 	stimuli: height = 0.05
4.9055 	EXP 	stimuli: height = 0.05
4.9055 	EXP 	stimuli: text = 'self'
4.9055 	EXP 	stimuli: autoDraw = True
5.1702 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'task': 'color', 'instructions': 'test 2', 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
5.1769 	DATA 	Keypress: l
5.1796 	INFO 	Keyboard events cleared
5.1793 	EXP 	stimuli: autoDraw = False
5.1793 	EXP 	text_instructions: height = 0.05
5.1793 	EXP 	text_instructions: height = 0.05
5.1793 	EXP 	text_instructions: height = 0.05
5.1793 	EXP 	text_instructions: text = <psychopy.data.routine.Routine object at 0x000002AF0A5FB370>
5.1793 	EXP 	text_instructions: autoDraw = True
6.2267 	EXP 	Imported lists/trials.xlsx as conditions, 3 conditions, 2 params
6.2269 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'word': 'self', 'color': 'red', 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
6.2287 	DATA 	Keypress: space
6.2308 	INFO 	Keyboard events cleared
6.2306 	EXP 	text_instructions: autoDraw = False
6.2306 	EXP 	stimuli: foreColor = <psychopy.colors.Color: red, alpha=1.0>
6.2306 	EXP 	stimuli: text = 'self'
6.2306 	EXP 	stimuli: autoDraw = True
6.5937 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'word': 'other', 'color': 'green', 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
6.5964 	DATA 	Keypress: j
6.6001 	INFO 	Keyboard events cleared
6.5998 	EXP 	stimuli: autoDraw = False
6.5998 	EXP 	stimuli: foreColor = <psychopy.colors.Color: green, alpha=1.0>
6.5998 	EXP 	stimuli: height = 0.05
6.5998 	EXP 	stimuli: height = 0.05
6.5998 	EXP 	stimuli: height = 0.05
6.5998 	EXP 	stimuli: text = 'other'
6.5998 	EXP 	stimuli: autoDraw = True
6.8422 	EXP 	New trial (rep=0, index=2): <Trial 2 (2 in rep 0) data={'word': 'friend', 'color': 'blue', 'thisN': 2, 'thisTrialN': 2, 'thisRepN': 0}>
6.8466 	DATA 	Keypress: k
6.8487 	INFO 	Keyboard events cleared
6.8484 	EXP 	stimuli: autoDraw = False
6.8484 	EXP 	stimuli: foreColor = <psychopy.colors.Color: blue, alpha=1.0>
6.8484 	EXP 	stimuli: height = 0.05
6.8484 	EXP 	stimuli: height = 0.05
6.8484 	EXP 	stimuli: height = 0.05
6.8484 	EXP 	stimuli: text = 'friend'
6.8484 	EXP 	stimuli: autoDraw = True
7.0926 	DATA 	Keypress: l
7.0957 	INFO 	Keyboard events cleared
7.0955 	EXP 	stimuli: autoDraw = False
7.0955 	EXP 	goodbye_text: autoDraw = True
7.4782 	DATA 	Keypress: k
8.0479 	DATA 	Keypress: space
8.0528 	EXP 	goodbye_text: autoDraw = False
8.0529 	EXP 	Self: status = STOPPED
8.0551 	INFO 	saved data to 'C:\\Users\\alex_\\Desktop\\self_task\\data/060885_Self_2025-08-05_18h32.48.425.csv'
8.0557 	INFO 	saved data to C:\Users\alex_\Desktop\self_task\data/060885_Self_2025-08-05_18h32.48.425.psydat
