word,color,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,welcome_key.started,welcome.stopped,welcome_key.keys,welcome_key.rt,welcome_key.duration,instructions.started,text_instructions.started,key_resp_instrucctions.started,instructions.stopped,key_resp_instrucctions.keys,key_resp_instrucctions.rt,key_resp_instrucctions.duration,stimulus.started,stimuli_color.started,stimuli_color.stopped,stimulus.stopped,goodbye.started,goodbye_text.started,goodbye_response.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.008923000073991716,0.013091000029817224,0.013091000029817224,1.931534800096415,space,1.914989999961108,None,,,,,,,,,,,,,,,689542,001,2025-08-05_17h57.22.024,Self,2024.2.4,165.67427774693718,2025-08-05 17h57.33.511974 +0100,
,,,,,,,,,,,,,,,,,,1.9315679999999702,1.9399889000924304,1.9399889000924304,4.231900900020264,space,2.289093400002457,None,,,,,,,,689542,001,2025-08-05_17h57.22.024,Self,2024.2.4,165.67427774693718,2025-08-05 17h57.33.511974 +0100,
self,red,0,0,0,0,0,0,0,4.24270470009651,,,,,,,,,,,,,,,,4.237248499994166,4.24270470009651,6.236203000065871,6.231152400025167,,,,689542,001,2025-08-05_17h57.22.024,Self,2024.2.4,165.67427774693718,2025-08-05 17h57.33.511974 +0100,
friend,blue,1,1,0,0,1,1,1,6.236203000065871,,,,,,,,,,,,,,,,6.232430100091733,6.236203000065871,8.229342700098641,8.224427600041963,,,,689542,001,2025-08-05_17h57.22.024,Self,2024.2.4,165.67427774693718,2025-08-05 17h57.33.511974 +0100,
other,green,2,2,0,0,2,2,2,8.229342700098641,,,,,,,,,,,,,,,,8.225696600042284,8.229342700098641,10.222793000051752,10.218279200023971,,,,689542,001,2025-08-05_17h57.22.024,Self,2024.2.4,165.67427774693718,2025-08-05 17h57.33.511974 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.218334600096568,10.222793000051752,10.222793000051752,,,,,,,,
