task,instructions,thisN,thisTrialN,thisRepN,word,color,key_resp_instrucctions.keys,key_resp_instrucctions.rt,key_resp_instrucctions.duration,key_resp.keys,key_resp.rt,key_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,welcome_key.started,welcome.stopped,welcome_key.keys,welcome_key.rt,welcome_key.duration,instructions.started,text_instructions.started,key_resp_instrucctions.started,instructions.stopped,blocks.key_resp_instrucctions.keys,blocks.key_resp_instrucctions.rt,blocks.key_resp_instrucctions.duration,stimulus.started,stimuli.started,key_resp.started,stimulus.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,goodbye.started,goodbye_text.started,goodbye_response.started,goodbye.stopped,goodbye_response.keys,goodbye_response.rt,goodbye_response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,0.003423799993470311,0.012159599922597408,0.012159599922597408,0.5410264999372885,space,0.5225316999712959,None,,,,,,,,,,,,,,,,,,,,,,454416,001,2025-08-05_18h20.39.240,Self,2024.2.4,162.3603293515133,2025-08-05 18h20.43.500607 +0100,
identity,test2,0,0,0,other,green,space,2.4986422000220045,None,j,1.084960600011982,None,0,0,0,1,0,0,0,2,3.07206999999471,,,,,,,,,0.5549497000174597,0.5598007999360561,0.5598007999360561,3.0596380999777466,space,2.4986422000220045,None,3.0664607000071555,3.07206999999471,3.07206999999471,4.161773100029677,j,1.084960600011982,None,,,,,,,,454416,001,2025-08-05_18h20.39.240,Self,2024.2.4,162.3603293515133,2025-08-05 18h20.43.500607 +0100,
identity,test2,1,1,0,friend,blue,space,2.4986422000220045,None,k,0.5455341000342742,None,0,0,0,1,0,1,1,1,4.167237599962391,,,,,,,,,,,,,,,,4.163404199993238,4.167237599962391,4.167237599962391,4.713970899931155,k,0.5455341000342742,None,,,,,,,,454416,001,2025-08-05_18h20.39.240,Self,2024.2.4,162.3603293515133,2025-08-05 18h20.43.500607 +0100,
identity,test2,2,2,0,self,red,space,2.4986422000220045,None,l,0.5523468999890611,None,0,0,0,1,0,2,2,0,4.720798099995591,,,,,,,,,,,,,,,,4.717475899960846,4.720798099995591,4.720798099995591,5.277151099988259,l,0.5523468999890611,None,,,,,,,,454416,001,2025-08-05_18h20.39.240,Self,2024.2.4,162.3603293515133,2025-08-05 18h20.43.500607 +0100,
identity,test2,0,0,0,,,space,2.4986422000220045,None,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454416,001,2025-08-05_18h20.39.240,Self,2024.2.4,162.3603293515133,2025-08-05 18h20.43.500607 +0100,
color,test,0,0,0,self,red,space,2.827878399984911,None,j,0.5513058999786153,None,0,1,1,0,0,0,0,0,8.123047799919732,,,,,,,,,5.281992999953218,5.2849674000171944,5.2849674000171944,8.114481399999931,space,2.827878399984911,None,8.119787500007078,8.123047799919732,8.123047799919732,8.67574410000816,j,0.5513058999786153,None,,,,,,,,454416,001,2025-08-05_18h20.39.240,Self,2024.2.4,162.3603293515133,2025-08-05 18h20.43.500607 +0100,
color,test,1,1,0,other,green,space,2.827878399984911,None,k,0.4558598999865353,None,0,1,1,0,0,1,1,2,8.681712999939919,,,,,,,,,,,,,,,,8.67727709992323,8.681712999939919,8.681712999939919,9.142442699987441,k,0.4558598999865353,None,,,,,,,,454416,001,2025-08-05_18h20.39.240,Self,2024.2.4,162.3603293515133,2025-08-05 18h20.43.500607 +0100,
color,test,2,2,0,friend,blue,space,2.827878399984911,None,l,0.5203367000212893,None,0,1,1,0,0,2,2,1,9.148560300003737,,,,,,,,,,,,,,,,9.144260699977167,9.148560300003737,9.148560300003737,9.670360199990682,l,0.5203367000212893,None,,,,,,,,454416,001,2025-08-05_18h20.39.240,Self,2024.2.4,162.3603293515133,2025-08-05 18h20.43.500607 +0100,
color,test,1,1,0,,,space,2.827878399984911,None,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454416,001,2025-08-05_18h20.39.240,Self,2024.2.4,162.3603293515133,2025-08-05 18h20.43.500607 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.671122499974445,9.675710099982098,9.675710099982098,10.967211399925873,space,1.2899347000056878,None,454416,001,2025-08-05_18h20.39.240,Self,2024.2.4,162.3603293515133,2025-08-05 18h20.43.500607 +0100,
