task,ins,thisN,thisTrialN,thisRepN,word,color,font,key_resp_instrucctions.keys,key_resp_instrucctions.rt,key_resp_instrucctions.duration,key_resp.keys,key_resp.rt,key_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,welcome_key.started,welcome.stopped,welcome_key.keys,welcome_key.rt,welcome_key.duration,instructions.started,text_instructions.started,key_resp_instrucctions.started,instructions.stopped,blocks.key_resp_instrucctions.keys,blocks.key_resp_instrucctions.rt,blocks.key_resp_instrucctions.duration,fixation_duration,stimulus.started,fix.started,fix.stopped,stimuli.started,key_resp.started,stimulus.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,blank.started,blank_screen.started,blank_screen.stopped,blank.stopped,goodbye.started,goodbye_text.started,goodbye_response.started,goodbye.stopped,goodbye_response.keys,goodbye_response.rt,goodbye_response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,0.005296299932524562,0.009502399945631623,0.009502399945631623,1.3767893998883665,space,1.3640747999306768,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,993923,001,2025-08-05_20h21.14.855,Self,2024.2.4,167.86437918187258,2025-08-05 20h21.19.194144 +0100,
identity,"In the following task, you will need to report the identity of the word. 
- If the word is self, press j
- If the word is friend, press k
- If the word is other, press l

press the space key to start",0,0,0,other,green,"Tahoma" ,space,0.789070799946785,None,j,0.362839600071311,None,0,0,0,1,0,0,0,2,2.196963799884543,,,,,,,,,1.3914472998585552,1.3971016998402774,1.3971016998402774,2.1872750998008996,space,0.789070799946785,None,0.8669605852652136,2.1925504999235272,2.196963799884543,3.063568799989298,3.063568799989298,3.063568799989298,3.4288488999009132,j,0.362839600071311,None,3.4288906999863684,3.4335538998711854,4.432680299971253,4.422066699946299,,,,,,,,993923,001,2025-08-05_20h21.14.855,Self,2024.2.4,167.86437918187258,2025-08-05 20h21.19.194144 +0100,
identity,"In the following task, you will need to report the identity of the word. 
- If the word is self, press j
- If the word is friend, press k
- If the word is other, press l

press the space key to start",1,1,0,friend,blue,"Verdana",space,0.789070799946785,None,j,0.37281349999830127,None,0,0,0,1,0,1,1,1,4.432680299971253,,,,,,,,,,,,,,,,0.9778906284877491,4.424472899874672,4.432680299971253,5.408621599897742,5.408621599897742,5.408621599897742,5.785608299775049,j,0.37281349999830127,None,5.785650999983773,5.790228599915281,6.789847599808127,6.778924399986863,,,,,,,,993923,001,2025-08-05_20h21.14.855,Self,2024.2.4,167.86437918187258,2025-08-05 20h21.19.194144 +0100,
identity,"In the following task, you will need to report the identity of the word. 
- If the word is self, press j
- If the word is friend, press k
- If the word is other, press l

press the space key to start",2,2,0,self,red,"Arial",space,0.789070799946785,None,k,0.24676840007305145,None,0,0,0,1,0,2,2,0,6.789847599808127,,,,,,,,,,,,,,,,0.5626769116052741,6.781605599913746,6.789847599808127,7.347151499940082,7.347151499940082,7.347151499940082,7.597801899770275,k,0.24676840007305145,None,7.597844799980521,7.602179099805653,8.607189399888739,8.590551899978891,,,,,,,,993923,001,2025-08-05_20h21.14.855,Self,2024.2.4,167.86437918187258,2025-08-05 20h21.19.194144 +0100,
identity,"In the following task, you will need to report the identity of the word. 
- If the word is self, press j
- If the word is friend, press k
- If the word is other, press l

press the space key to start",0,0,0,,,,space,0.789070799946785,None,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,993923,001,2025-08-05_20h21.14.855,Self,2024.2.4,167.86437918187258,2025-08-05 20h21.19.194144 +0100,
color,"In the following task, you will need to report the color of the word. 
- If the word is presented in blue, press j
- If the word is presented in red, press k
- If the word is presented in green, press l

press the space key to start",0,0,0,friend,blue,"Verdana",space,0.569971099961549,None,j,0.27032750006765127,None,0,1,1,0,0,0,0,1,9.18909789994359,,,,,,,,,8.601841899799183,8.607189399888739,8.607189399888739,9.178913099924102,space,0.569971099961549,None,0.9032050213330185,9.185201399959624,9.18909789994359,10.091624299995601,10.091624299995601,10.091624299995601,10.366465199971572,j,0.27032750006765127,None,10.36650409991853,10.370951399905607,11.370556099805981,11.359896199777722,,,,,,,,993923,001,2025-08-05_20h21.14.855,Self,2024.2.4,167.86437918187258,2025-08-05 20h21.19.194144 +0100,
color,"In the following task, you will need to report the color of the word. 
- If the word is presented in blue, press j
- If the word is presented in red, press k
- If the word is presented in green, press l

press the space key to start",1,1,0,self,red,"Arial",space,0.569971099961549,None,k,0.2682964000850916,None,0,1,1,0,0,1,1,0,11.370556099805981,,,,,,,,,,,,,,,,0.8285509013634627,11.36232819990255,11.370556099805981,12.195149699924514,12.195149699924514,12.195149699924514,12.469383199932054,k,0.2682964000850916,None,12.469429299933836,12.474001899827272,13.472861399874091,13.46255369996652,,,,,,,,993923,001,2025-08-05_20h21.14.855,Self,2024.2.4,167.86437918187258,2025-08-05 20h21.19.194144 +0100,
color,"In the following task, you will need to report the color of the word. 
- If the word is presented in blue, press j
- If the word is presented in red, press k
- If the word is presented in green, press l

press the space key to start",2,2,0,other,green,"Tahoma" ,space,0.569971099961549,None,l,0.24077800009399652,None,0,1,1,0,0,2,2,2,13.472861399874091,,,,,,,,,,,,,,,,0.6116248771205832,13.469291399931535,13.472861399874091,14.078991299960762,14.078991299960762,14.078991299960762,14.322767599951476,l,0.24077800009399652,None,14.322809599805623,14.327409299788997,15.321286199847236,15.316374199930578,,,,,,,,993923,001,2025-08-05_20h21.14.855,Self,2024.2.4,167.86437918187258,2025-08-05 20h21.19.194144 +0100,
color,"In the following task, you will need to report the color of the word. 
- If the word is presented in blue, press j
- If the word is presented in red, press k
- If the word is presented in green, press l

press the space key to start",1,1,0,,,,space,0.569971099961549,None,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,993923,001,2025-08-05_20h21.14.855,Self,2024.2.4,167.86437918187258,2025-08-05 20h21.19.194144 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.317022799979895,15.321286199847236,15.321286199847236,15.571152999997139,space,0.2472049999050796,None,993923,001,2025-08-05_20h21.14.855,Self,2024.2.4,167.86437918187258,2025-08-05 20h21.19.194144 +0100,
