task,ins,thisN,thisTrialN,thisRepN,word,color,key_resp_instrucctions.keys,key_resp_instrucctions.rt,key_resp_instrucctions.duration,key_resp.keys,key_resp.rt,key_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,welcome_key.started,welcome.stopped,welcome_key.keys,welcome_key.rt,welcome_key.duration,instructions.started,text_instructions.started,key_resp_instrucctions.started,instructions.stopped,blocks.key_resp_instrucctions.keys,blocks.key_resp_instrucctions.rt,blocks.key_resp_instrucctions.duration,fixation_duration,stimulus.started,fix.started,fix.stopped,stimuli.started,key_resp.started,stimulus.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,goodbye.started,goodbye_text.started,goodbye_response.started,goodbye.stopped,goodbye_response.keys,goodbye_response.rt,goodbye_response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,0.009808400180190802,0.014528400031849742,0.014528400031849742,2.1025247001089156,space,2.0834710001945496,None,,,,,,,,,,,,,,,,,,,,,,,,,129347,001,2025-08-05_19h56.43.734,Self,2024.2.4,165.75116766701507,2025-08-05 19h56.48.738177 +0100,
identity,"In the following task, you will need to report the identity of the word. 
- If the word is self, press j
- If the word is friend, press k
- If the word is other, press l

press the space key to start",0,0,0,self,red,space,0.8620079001411796,None,j,0.31033280002884567,None,0,0,0,1,0,0,0,0,3.0014977999962866,,,,,,,,,2.115280300145969,2.1226451001130044,2.1226451001130044,2.9906248999759555,space,0.8620079001411796,None,0.3785416738647869,2.9951043999753892,3.0014977999962866,3.37128289998509,3.37128289998509,3.37128289998509,3.6879249999765307,j,0.31033280002884567,None,,,,,,,,129347,001,2025-08-05_19h56.43.734,Self,2024.2.4,165.75116766701507,2025-08-05 19h56.48.738177 +0100,
identity,"In the following task, you will need to report the identity of the word. 
- If the word is self, press j
- If the word is friend, press k
- If the word is other, press l

press the space key to start",1,1,0,other,green,space,0.8620079001411796,None,j,0.512050700141117,None,0,0,0,1,0,1,1,2,3.692189499968663,,,,,,,,,,,,,,,,0.3446383040076691,3.689209300093353,3.692189499968663,4.025784900179133,4.025784900179133,4.025784900179133,4.542232100153342,j,0.512050700141117,None,,,,,,,,129347,001,2025-08-05_19h56.43.734,Self,2024.2.4,165.75116766701507,2025-08-05 19h56.48.738177 +0100,
identity,"In the following task, you will need to report the identity of the word. 
- If the word is self, press j
- If the word is friend, press k
- If the word is other, press l

press the space key to start",2,2,0,friend,blue,space,0.8620079001411796,None,j,0.5306204999797046,None,0,0,0,1,0,2,2,1,4.546778100077063,,,,,,,,,,,,,,,,0.5925920298397227,4.543438100023195,4.546778100077063,5.128520300146192,5.128520300146192,5.128520300146192,5.663530700141564,j,0.5306204999797046,None,,,,,,,,129347,001,2025-08-05_19h56.43.734,Self,2024.2.4,165.75116766701507,2025-08-05 19h56.48.738177 +0100,
identity,"In the following task, you will need to report the identity of the word. 
- If the word is self, press j
- If the word is friend, press k
- If the word is other, press l

press the space key to start",0,0,0,,,space,0.8620079001411796,None,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129347,001,2025-08-05_19h56.43.734,Self,2024.2.4,165.75116766701507,2025-08-05 19h56.48.738177 +0100,
color,"In the following task, you will need to report the color of the word. 
- If the word is presented in blue, press j
- If the word is presented in red, press k
- If the word is presented in green, press l

press the space key to start",0,0,0,friend,blue,space,0.9022927000187337,None,j,0.4964660000987351,None,0,1,1,0,0,0,0,1,6.588265300029889,,,,,,,,,5.669299800181761,5.673337400192395,5.673337400192395,6.578621000051498,space,0.9022927000187337,None,0.3992801090251633,6.581795900128782,6.588265300029889,6.982481900136918,6.982481900136918,6.982481900136918,7.481083800084889,j,0.4964660000987351,None,,,,,,,,129347,001,2025-08-05_19h56.43.734,Self,2024.2.4,165.75116766701507,2025-08-05 19h56.48.738177 +0100,
color,"In the following task, you will need to report the color of the word. 
- If the word is presented in blue, press j
- If the word is presented in red, press k
- If the word is presented in green, press l

press the space key to start",1,1,0,self,red,space,0.9022927000187337,None,j,0.7162506999447942,None,0,1,1,0,0,1,1,0,7.48554030014202,,,,,,,,,,,,,,,,0.458007090180401,7.482196300057694,7.48554030014202,7.933741300133988,7.933741300133988,7.933741300133988,8.655971999978647,j,0.7162506999447942,None,,,,,,,,129347,001,2025-08-05_19h56.43.734,Self,2024.2.4,165.75116766701507,2025-08-05 19h56.48.738177 +0100,
color,"In the following task, you will need to report the color of the word. 
- If the word is presented in blue, press j
- If the word is presented in red, press k
- If the word is presented in green, press l

press the space key to start",2,2,0,other,green,space,0.9022927000187337,None,j,0.5505403999704868,None,0,1,1,0,0,2,2,2,8.660962700145319,,,,,,,,,,,,,,,,0.6489773243373784,8.657264000037685,8.660962700145319,9.302840600023046,9.302840600023046,9.302840600023046,9.856383400037885,j,0.5505403999704868,None,,,,,,,,129347,001,2025-08-05_19h56.43.734,Self,2024.2.4,165.75116766701507,2025-08-05 19h56.48.738177 +0100,
color,"In the following task, you will need to report the color of the word. 
- If the word is presented in blue, press j
- If the word is presented in red, press k
- If the word is presented in green, press l

press the space key to start",1,1,0,,,space,0.9022927000187337,None,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129347,001,2025-08-05_19h56.43.734,Self,2024.2.4,165.75116766701507,2025-08-05 19h56.48.738177 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.856963600032032,9.86039589997381,9.86039589997381,13.612515700049698,space,3.7486791000701487,None,129347,001,2025-08-05_19h56.43.734,Self,2024.2.4,165.75116766701507,2025-08-05 19h56.48.738177 +0100,
